id,taxonomy_recordid,taxonomy_name,taxonomy_parent_name,taxonomy_grandparent_name,taxonomy_vocabulary,taxonomy_x_description,taxonomy_x_notes,taxonomy_services,taxonomy_parent_recordid,taxonomy_facet,category_id,taxonomy_id,flag
271,1221,"Labor Relations",,,,,,,,Service,FT-4200,FT-4200,
272,818,"Mentoring Programs",,,,,,,,Service,PH-1400.5000,PH-1400.5000,
273,515,"State Trial Courts",,,,,,,,"Organization/Facility Type",FC-8200,FC-8200,
274,1289,"State Government Agencies/Departments",,,,,,,,"Organization/Facility Type",TD-0300.8000,TD-0300.8000,
275,1288,"Civil State Trial Courts",,,,,,,,"Organization/Facility Type",FC-8200.1500,FC-8200.1500,
276,861,"Psychiatric Hospitals",,"Mental Health",,,,,,"Organization/Facility Type",RM-3300.6500,RM-3300.6500,
277,125,"Psychiatric Case Management",,"Mental Health",,,,,,Service,RP-6400.8000-600,RP-6400.8000-600,
278,251,"Foreclosure Prevention Loan Modification/Refinancing Programs",,,,,,,,Service,BH-3500.3400-300,BH-3500.3400-300,
279,695,"Juvenile Detention Facilities",,,,,,,,"Organization/Facility Type",FF-1500.3500,FF-1500.3500,
280,641,"Utility Service Payment Assistance",,,,,,,,Service,BV-8900.9300,BV-8900.9300,
281,158,"Inpatient Alcohol Use Disorder Treatment Facilities",,"Mental Health",,,,,,"Organization/Facility Type",RX-8450.3300-300,RX-8450.3300-300,
282,1196,"Recordings for the Blind and Dyslexic",,,,,,,,Service,TJ-4500.4500-750,TJ-4500.4500-750,
283,1197,"Braille Materials/Collections",,,,,,,,Service,TJ-4500.8300-100,TJ-4500.8300-100,
284,1198,"Disability Related Libraries",,,,,,,,"Organization/Facility Type",TJ-4400.8100-180,TJ-4400.8100-180,
285,825,"Nondelinquent Juvenile Detention Facilities",,,,,,,,"Organization/Facility Type",PH-6500.1500-600,PH-6500.1500-600,
286,1166,"Comprehensive Job Assistance Centers",,"Employment Training",,,,,,"Organization/Facility Type",ND-1500,ND-1500,modified
287,303,"Pediatric Evaluation",,Health,,,,,,Service,LF-7000,LF-7000,
288,522,"Specialty Hospitals",,Health,,,,,,"Organization/Facility Type",LL-3000.7800,LL-3000.7800,
289,127,"Play Therapy",,"Mental Health",,,,,,Service,RP-8000.6600,RP-8000.6600,
290,78,"Support Groups",,,,,,,,"Organization/Facility Type",PN-8100,PN-8100,
291,218,"Electric Service Payment Assistance",,"Emergency Assistance (Utility/Financial Assistance)",,,,,,Service,BV-8900.9300-180,BV-8900.9300-180,modified
292,159,"Inpatient Drug Use Disorder Treatment Facilities",,"Mental Health",,,,,,"Organization/Facility Type",RX-8450.3300-350,RX-8450.3300-350,
293,567,"Inpatient Drug Detoxification",,"Mental Health",,,,,,Service,RX-1700.1700-330,RX-1700.1700-330,
294,839,"Opioid Detoxification",,"Mental Health",,,,,,Service,RX-1700.1700-500,RX-1700.1700-500,
295,662,"Outpatient Drug Detoxification",,"Mental Health",,,,,,Service,RX-1700.1700-650,RX-1700.1700-650,
296,1284,"Criminal State Trial Courts",,,,,,,,"Organization/Facility Type",FC-8200.1550,FC-8200.1550,
297,1290,"Foreclosure Records",,,,,,,,Service,DF-7000.2270,DF-7000.2270,
298,1430,"Drop In Centers",,,,,,,,"Organization/Facility Type",TC-1700,TC-1700,
299,30,"Citizenship and Immigration Services Offices",,,,,,,,"Named Programs",FT-3500.1500,FT-3500.1500,
300,276,"Veterans Affairs Medical Centers",,Health,,,,,,"Organization/Facility Type",LL-3000.9000,LL-3000.9000,
301,373,"Patient/Family Housing",,Housing,,,,,,"Organization/Facility Type",LH-6300.3650-600,LH-6300.3650-600,modified
302,657,"Smoking Cessation Support",,"Mental Health",,,,,,Service,RX-8470.8100,RX-8470.8100,
303,704,"Smoking Cessation",,"Mental Health",,,,,,Service,RX-8450.7900,RX-8450.7900,
304,75,"Nutrition Education",,Health,,,,,,Service,LH-2700.6000,LH-2700.6000,
305,81,"Psychosocial Therapy",,"Mental Health",,,,,,Service,RD-3000.6750,RD-3000.6750,
306,1298,"Breast Pumps",,Health,,,,,,Service,LJ-5000.0900,LJ-5000.0900,
307,1296,"Indoor Home Safety Education",,,,,,,,Service,JR-8200.3000-340,JR-8200.3000-340,
308,1297,"Child Passenger Safety Seat Inspections",,,,,,,,Service,JR-8200.8500-160,JR-8200.8500-160,
309,805,"Child Passenger Safety Seats",,,,,,,,Service,JR-8400.1500,JR-8400.1500,
310,1051,"Baby Furniture",,,,,,,,Service,BM-3000.2000-100,BM-3000.2000-100,
311,221,"Transportation Expense Assistance",,,,,,,,Service,BT-8300,BT-8300,
312,655,"Health Fairs",,Health,,,,,,Service,LH-2700.2900,LH-2700.2900,
313,849,"Domestic Violence Shelters",,"Domestic Violence",,,,,,"Organization/Facility Type",BH-1800.1500-100,BH-1800.1500-100,modified
314,852,"Domestic Violence Intervention Programs",,"Domestic Violence",,,,,,Service,FN-1500.9100-180,FN-1500.9100-180,modified
315,783,"Emergency Food",,,,,,,,Service,BD-1800,BD-1800,
316,386,Clothing,,,,,,,,Service,BM-6500.1500,BM-6500.1500,
317,151,"Domestic Violence Support Groups",,"Domestic Violence",,,,,,"Organization/Facility Type",PN-8100.0200-180,PN-8100.0200-180,modified
318,216,"Child Abuse Counseling",,"Child Abuse",,,,,,Service,RP-1400.8000-020.15,RP-1400.8000-020.15,modified
319,1030,"Child Abuse Prevention",,"Child Abuse",,,,,,Service,FN-1500.1900-150,FN-1500.1900-150,modified
320,1299,"Child Abuse Support Groups",,"Child Abuse",,,,,,"Organization/Facility Type",PN-8100.0200-100,PN-8100.0200-100,modified
321,202,"Spouse/Intimate Partner Abuse Counseling",,"Domestic Violence",,,,,,Service,RP-1400.8000-020.80,RP-1400.8000-020.80,modified
322,449,"Adult/Child Mentoring Programs",,"Tutoring and Academic Mentoring",,,,,,Service,PH-1400.5000-100,PH-1400.5000-100,modified
323,1143,"Jail Diversion Programs for Mentally Ill Offenders",,,,,,,,Service,FF-0500.1800-300,FF-0500.1800-300,
324,1321,"Traffic Courts",,,,,,,,"Organization/Facility Type",FC-8200.8100-900,FC-8200.8100-900,
325,892,"Federal Tax Collection Agencies",,,,,,,,"Organization/Facility Type",DT-8500.3300,DT-8500.3300,
326,379,"Job Search Resource Centers",,"Employment Training",,,,,,"Organization/Facility Type",ND-3500.3700,ND-3500.3700,modified
327,670,"Disaster Related Goods Donations Management",,"Emergency Assistance (Disaster)",,,,,,Service,TH-2900.1700-260,TH-2900.1700-260,modified
328,51,"Conjoint Counseling",,"Mental Health",,,,,,"Modality/Delivery Format",RF-1500,RF-1500,
329,1018,"Music Instruction",,,,,,,,Service,PL-7400.5500,PL-7400.5500,
330,1303,"Substance Use Disorder Crisis Intervention",,"Mental Health",,,,,,Service,RX-8470.8200,RX-8470.8200,
331,140,"General Crime Victim Assistance",,,,,,,,Service,FN-1900.2500,FN-1900.2500,
332,640,"Credit Reporting Agencies",,,,,,,,"Organization/Facility Type",DM-1500.1640,DM-1500.1640,
333,268,"Lawyer Referral Services",,,,,,,,Service,FT-4800,FT-4800,
334,790,"Homeless Drop In Centers",,,,,,,,"Organization/Facility Type",BH-1800.3500,BH-1800.3500,
335,1292,"Drug Courts",,,,,,,,"Organization/Facility Type",FC-8200.8100-170,FC-8200.8100-170,
336,223,"Human Trafficking Hotlines",,"Mental Health",,,,,,Service,RP-1500.1400-300,RP-1500.1400-300,
337,625,"Medical Information Lines",,,,,,,,Service,TJ-3200.5000,TJ-3200.5000,
338,566,"Marriage Counseling",,"Mental Health",,,,,,Service,RP-1400.8000-500,RP-1400.8000-500,
339,557,"Library Services",,,,,,,,Service,TJ-4500,TJ-4500,
340,589,"Soup Kitchens",,,,,,,,"Organization/Facility Type",BD-5000.8300,BD-5000.8300,
341,1346,"Organ Procurement Organizations",,Health,,,,,,"Organization/Facility Type",LH-0500.6450,LH-0500.6450,
342,252,"911 Services",,,,,,,,Service,JR-6000,JR-6000,
343,253,"911 Tapes",,,,,,,,Service,DF-7000.4590-550,DF-7000.4590-550,
344,256,"Crime Investigation",,,,,,,,Service,FN-1300,FN-1300,
345,635,"Correctional Facilities",,,,,,,,"Organization/Facility Type",FF-1500,FF-1500,
346,1349,"Inmate Visitation Programs",,,,,,,,Service,FF-3300.3500,FF-3300.3500,
347,91,"AIDS/HIV Prevention Counseling",,Health,,,,,,Service,LH-2700.0150,LH-2700.0150,
348,1350,"Health Statistics",,,,,,,,Service,TJ-8000.3000,TJ-8000.3000,
349,968,"Tuberculosis Control",,,,,,,,Service,JP-1500.1700-800,JP-1500.1700-800,
350,1351,"Tuberculosis Clinics",,Health,,,,,,Service,LT-1750.9000,LT-1750.9000,
351,1352,"Hepatitis Testing",,Health,,,,,,Service,LF-4900.2200,LF-4900.2200,
352,540,"Tobacco Use Education/Prevention",,"Mental Health",,,,,,Service,RX-8250.8000,RX-8250.8000,
353,650,"County Government Departments/Offices",,,,,,,,"Organization/Facility Type",TD-0300.1300,TD-0300.1300,
354,564,"Refugee Resettlement Services",,,,,,,,Service,PH-1450.7000,PH-1450.7000,
355,1151,"Planning/Coordinating/Advisory Groups",,,,,,,,"Organization/Facility Type",TD-6500,TD-6500,
356,154,"AIDS/HIV Control",,,,,,,,Service,JP-1500.1700-050,JP-1500.1700-050,
357,661,"Mobile Health Care",,Health,,,,,,"Organization/Facility Type",LN-5000,LN-5000,
358,1353,"Disease Specific Communicable Disease Control",,,,,,,,Service,JP-1500.1700,JP-1500.1700,
359,249,"Sexuality/Reproductive Health Education",,Health,,,,,,Service,LJ-8000,LJ-8000,
360,72,"Sexually Transmitted Disease Screening",,"Diagnostic Centers",,,,,,Service,LF-4900.8000,LF-4900.8000,modified
361,250,"Sexually Transmitted Disease Treatment",,Health,,,,,,Service,LT-1750.8000,LT-1750.8000,
362,114,"Birth Control",,Health,,,,,,Service,LJ-2000.1000,LJ-2000.1000,
363,83,"Long Term Case/Care Management",,,,,,,,Service,PH-1000.4500,PH-1000.4500,
364,1082,"Personal Safety Education",,,,,,,,Service,JR-8200.6500,JR-8200.6500,
365,92,"Family and Community Medicine",,Health,,,,,,Service,LV-2600,LV-2600,
366,101,"Internal Medicine",,Health,,,,,,Service,LV-3300,LV-3300,
367,190,"Women's Health Centers",,Health,,,,,,"Organization/Facility Type",LN-9500,LN-9500,
368,25,"Domestic/Family Violence Legal Services",,"Child Abuse",,,,,,Service,FT-3000.1750,FT-3000.1750,modified
369,1357,"Protective/Restraining Orders",,,,,,,,"Programs that provide assistance for people who need to obtain l",FT-3000.6900,FT-3000.6900,
370,296,"Subject Specific Public Awareness/Education",,,,,,,,Service,TJ-6500.8500,TJ-6500.8500,
371,717,"Crime Victim/Witness Counseling",,"Mental Health",,,,,,Service,RP-1400.8000-160,RP-1400.8000-160,
372,817,"Youth Literacy Programs",,,,,,,,Service,HH-4500.9500,HH-4500.9500,
373,501,"Classroom Training",,,,,,,,"Modality/Delivery Format",ND-2000.3500-150,ND-2000.3500-150,
374,632,"Workers Compensation Benefits Assistance",,,,,,,,Service,FT-1000.9700,FT-1000.9700,
375,33,"Pest Control Services",,,,,,,,Service,JP-6500.6500,JP-6500.6500,
376,460,"Animal Rescue",,,,,,,,Service,PD-7600.0500,PD-7600.0500,
377,740,"Prison Ministries",,,,,,,,Service,FF-3300.6400,FF-3300.6400,
378,613,"Medical and Health Sciences Research",,,,,,,,Service,TR-1000.5000,TR-1000.5000,
379,878,"Mental Health Associations",,,,,,,,"Organization/Facility Type",TD-1600.3100-550,TD-1600.3100-550,
380,1050,"Water Conservation Enforcement",,,,,,,,Service,JD-1500.9500-870,JD-1500.9500-870,
381,1049,"Home Water Use Surveys",,,,,,,,Service,JD-1500.9500-300,JD-1500.9500-300,
382,489,"Emergency Veterinary Services",,,,,,,,Service,PD-9000.1800,PD-9000.1800,
383,464,"Neuter/Spay Services",,,,,,,,Service,PD-9000.6000,PD-9000.6000,
384,40,"Better Business Bureaus",,,,,,,,"Organization/Facility Type",DD-2100.1000,DD-2100.1000,
385,88,Obstetrics/Gynecology,,Health,,,,,,Service,LV-6000,LV-6000,
386,96,"Podiatry/Foot Care",,Health,,,,,,Service,LV-7200,LV-7200,
387,355,"Homework Help Programs",,"Tutoring and Academic Mentoring",,,,,,Service,HL-8700.3000,HL-8700.3000,modified
388,642,"Medical Expense Assistance",,Health,,,,,,Service,LH-5100,LH-5100,
389,1384,"Occupation Specific Job Training",,,,,,,,Service,ND-2000.6400,ND-2000.6400,
390,183,"Stress Management",,,,,,,,Service,PH-6200.8400,PH-6200.8400,
391,1048,"Eye Care",,Health,,,,,,Service,LV-2400,LV-2400,
392,172,"Public Parks",,,,,,,,"Organization/Facility Type",PL-6400.6500,PL-6400.6500,
393,560,"Recreation Centers",,,,,,,,"Organization/Facility Type",PL-6400.7000-700,PL-6400.7000-700,
394,436,"Swimming/Swimming Lessons",,,,,,,,Service,PL-7000.8800,PL-7000.8800,
395,602,"Adult Diversion",,,,,,,,Service,FF-0500.1800-050,FF-0500.1800-050,
396,691,"Juvenile Diversion",,,,,,,,Service,FF-0500.1800-350,FF-0500.1800-350,
397,3,"Information and Referral Database Management Assistance",,,,,,,,Service,TP-3350.1800-330,TP-3350.1800-330,
398,170,"General Medical Equipment/Supplies Provision",,Health,,,,,,Service,LH-5000.2500,LH-5000.2500,
399,227,"Immigrant Benefits Assistance",,,,,,,,Service,FT-1000.3300,FT-1000.3300,
400,414,"Physician Referrals",,Health,,,,,,Service,LH-2600.6500,LH-2600.6500,
401,538,"Adult Education",,,,,,,,Service,HH-0500,HH-0500,
402,533,"School Lunches/Snacks",,,,,,,,Service,BD-5000.8200,BD-5000.8200,
403,328,"Adult Day Program Centers",,,,,,,,"Organization/Facility Type",PH-0320.0200,PH-0320.0200,
404,481,"Dementia Management",,Health,,,,,,Service,LT-1750.1700,LT-1750.1700,
405,423,"Independent Living Communities/Complexes",,,,,,,,"Organization/Facility Type",BH-7000.5100-330,BH-7000.5100-330,
406,283,Neurology,,Health,,,,,,Service,LV-5500,LV-5500,
407,425,"Condition Specific Rehabilitation Services",,Health,,,,,,Service,LR-1570,LR-1570,
408,846,"Safe Havens for Abandoned Newborns",,Health,,,,,,"Organization/Facility Type",LJ-5000.8000,LJ-5000.8000,
409,319,"Foster Home Placement",,"Foster Parents",,,,,,Service,PH-2400.1900,PH-2400.1900,modified
410,155,"Alcohol Use Disorder Counseling",,"Mental Health",,,,,,Service,RX-8450.8000-050,RX-8450.8000-050,
411,951,"Neonatal Care",,Health,,,,,,Service,LJ-5000.6200,LJ-5000.6200,
412,254,"Alcohol Use Disorder Education/Prevention",,"Mental Health",,,,,,Service,RX-8250.0500,RX-8250.0500,
413,313,"Tutoring Services",,,,,,,,Service,HL-8700,HL-8700,
414,715,"Recreational/Leisure/Arts Instruction",,"Arts and Culture",,,,,,Service,PL-7400,PL-7400,modified
415,415,Medicare,"Income Support and Employment",,"Open211 Miami - AIRS",,,,N,"Named Programs",NS-8000.5000,NS-8000.5000,
416,499,"Disability Related Center Based Employment",,,,,,,,Service,ND-6500.1800,ND-6500.1800,
417,284,"Adult In Home Respite Care",,,,,,,,Service,PH-7000.3300-040,PH-7000.3300-040,
418,807,"City Government Information Lines",,,,,,,,Service,TJ-3200.2500-140,TJ-3200.2500-140,
419,585,"Pastoral Counseling",,"Mental Health",,,,,,"Programs that specialize in providing therapeutic interventions ",RD-6200,RD-6200,
420,255,"Drug Use Disorder Education/Prevention",,"Mental Health",,,,,,Service,RX-8250.1700,RX-8250.1700,
421,541,"Adult Literacy Programs",,,,,,,,Service,HH-4500.0500,HH-4500.0500,
422,156,"Drug Use Disorder Counseling",,"Mental Health",,,,,,Service,RX-8450.8000-180,RX-8450.8000-180,
423,824,"Pedestrian Safety Education",,,,,,,,Service,JR-8200.8500-650,JR-8200.8500-650,
424,368,"Independent Living Skills Instruction",,Health,,,,,,Service,LR-3200,LR-3200,
425,749,"Ballet Performances",,,,,,,,Service,TA-1700.1000,TA-1700.1000,
426,28,"Children's Protective Services",,,,,,,,Service,PH-6500.1500,PH-6500.1500,
427,387,"Runaway/Youth Shelters",,,,,,,,"Organization/Facility Type",BH-1800.1500-700,BH-1800.1500-700,
428,721,"Business Consulting Services",,,,,,,,Service,TB-0900.0650-060,TB-0900.0650-060,
429,810,"Co-Parenting Workshops",,"Parenting Skills (Education)",,,,,,Service,PH-6100.1550,PH-6100.1550,modified
430,430,"Radio Stations","Organizational/Community/International Services",,"Open211 Miami - AIRS",,,,T,"Organization/Facility Type",TJ-5500.7000,TJ-5500.7000,
431,814,"Transition Services for Students With Disabilities",,,,,,,,Service,HH-8000.8500,HH-8000.8500,
432,27,"State Attorneys General",,,,,,,,Service,FJ-6700.8000,FJ-6700.8000,
433,897,"Medicaid Applications",,,,,,,,"Named Programs",NL-5000.5000-520,NL-5000.5000-520,
434,119,"Juvenile Delinquency Prevention",,,,,,,,Service,FN-1500.3600,FN-1500.3600,
435,826,"Travelers Assistance",,,,,,,,Service,BT-8750,BT-8750,
436,26,"Child Abuse Reporting/Emergency Response",,"Child Abuse",,,,,,Service,PH-6500.1500-140,PH-6500.1500-140,modified
437,1343,"Disability Benefits",,,,,,,,Service,NS-1800,NS-1800,
438,915,Immunizations,,Health,,,,,,Service,LT-3400,LT-3400,
439,921,"Library Audiovisual Services",,,,,,,,Service,TJ-4500.4500,TJ-4500.4500,
440,922,"Public Libraries",,,,,,,,"Organization/Facility Type",TJ-4400.6500,TJ-4400.6500,
441,924,"Children's Reading Clubs",,,,,,,,"Organization/Facility Type",TJ-4500.1500-450,TJ-4500.1500-450,
442,198,"Pulmonary Disease Specialty",,Health,,,,,,Service,LV-3300.6500,LV-3300.6500,
443,898,"Adult Protective Intervention/Investigation",,,,,,,,Service,PH-6500.0500-050,PH-6500.0500-050,
444,1066,"Litter Cleanup Volunteer Opportunities",,,,,,,,Service,PX-2100.4600,PX-2100.4600,
445,144,"Housing Search Assistance",,Housing,,,,,,Service,BH-3900.3100,BH-3900.3100,modified
446,333,"Home Purchase Listings",,,,,,,,Service,BH-3900.3000,BH-3900.3000,
447,882,"Home Management Instruction",,,,,,,,Service,PH-3000,PH-3000,
448,630,Mediation,,,,,,,,"Modality/Delivery Format",FP-0700.5000,FP-0700.5000,
449,920,"Veteran Burial Benefits",,,,,,,,"Named Programs",NS-1000.9000,NS-1000.9000,
450,885,"Central Intake/Assessment for Substance Use Disorders",,"Mental Health",,,,,,Service,RX-0400.1500,RX-0400.1500,
451,886,"Early Intervention for Mental Illness",,"Mental Health",,,,,,Service,RR-1800,RR-1800,
452,376,Diapers,,,,,,,,Service,BM-6500.1500-150,BM-6500.1500-150,
453,359,"General Expectant/New Parent Assistance Programs",,,,,,,,Service,PH-6100.1800-250,PH-6100.1800-250,
454,676,"Veteran Benefits Assistance",,,,,,,,Service,FT-1000.9000,FT-1000.9000,
455,1311,"Wilderness Therapy Programs",,,,,,,,Service,PH-6200.9200,PH-6200.9200,
456,184,"Adult Psychiatric Inpatient Units",,"Mental Health",,,,,,"Organization/Facility Type",RM-3300.6600-080,RM-3300.6600-080,
457,229,"Arts and Crafts Instruction",,"Arts and Culture",,,,,,Service,PL-7400.0500,PL-7400.0500,modified
458,230,"Exercise Classes/Groups",,,,,,,,Service,PL-6600.1800,PL-6600.1800,
459,232,"Sewing Clubs",,,,,,,,"Organization/Facility Type",PS-8200.6000-800,PS-8200.6000-800,
460,233,"Knitting Clubs",,,,,,,,"Organization/Facility Type",PS-8200.6000-400,PS-8200.6000-400,
461,369,"Vocational Assessment",,,,,,,,Service,ND-2000.9000,ND-2000.9000,
462,880,"Holocaust Counseling",,"Mental Health",,,,,,Service,RP-1400.8000-325,RP-1400.8000-325,
463,881,"Adult Child Sexual Abuse Counseling",,"Child Abuse",,,,,,Service,RP-1400.8000-020.05,RP-1400.8000-020.05,modified
464,750,"Ballet Instruction",,,,,,,,Service,PL-7400.1700-080,PL-7400.1700-080,
465,57,"Administrative Entities",,,,,,,,"Organization/Facility Type",TD-0300,TD-0300,
466,899,"Protective Services",,,,,,,,Service,PH-6500,PH-6500,
467,917,Delivery/Childbirth,,Health,,,,,,Service,LJ-5000.1700,LJ-5000.1700,
468,490,"Medicaid Information/Counseling",,Health,,,,,,Service,LH-3500.4900,LH-3500.4900,
469,93,"Vision Screening",,"Diagnostic Centers",,,,,,Service,LF-4900.2000-900,LF-4900.2000-900,modified
470,94,"Dental Screening",,"Diagnostic Centers",,,,,,Service,LF-4900.1670,LF-4900.1670,modified
471,699,"Conflict Resolution Training",,,,,,,,Service,PH-6200.1550,PH-6200.1550,
472,1011,"Veteran Aid and Attendance Benefits",,,,,,,,"Named Programs",NS-1800.9000-900,NS-1800.9000-900,
473,428,"Home Health Care",,Health,,,,,,Service,LT-2800,LT-2800,
474,132,"Parent Support Groups",,,,,,,,"Organization/Facility Type",PN-8100.6500-650,PN-8100.6500-650,
475,830,"Family Life Education",,,,,,,,Service,PH-6200.2000,PH-6200.2000,
476,165,"Home Health Aide Services",,Health,,,,,,Service,LT-2800.3000,LT-2800.3000,
477,346,"Medical Equipment/Supplies",,Health,,,,,,Service,LH-5000,LH-5000,
478,128,"Behavior Modification",,"Mental Health",,,,,,Service,RD-1000.1000,RD-1000.1000,
479,41,"Consumer Education",,,,,,,,Service,DD-1800,DD-1800,
480,34,"Food Complaints",,,,,,,,Service,DD-1500.3750,DD-1500.3750,
481,35,"Bottled Water Complaints",,,,,,,,Service,DD-1500.1100,DD-1500.1100,
482,341,"Suicide Survivors Support Groups",,,,,,,,"Organization/Facility Type",PN-8100.1000-800,PN-8100.1000-800,
483,269,"Housing Discrimination Assistance",,Housing,,,,,,Service,FT-1800.3000,FT-1800.3000,modified
484,1013,"Filmmaking Instruction",,,,,,,,Service,PL-7400.2000,PL-7400.2000,
485,955,"Legislation Information",,,,,,,,Service,TQ-4400,TQ-4400,
486,776,"Musical Instrument Donation Programs",,,,,,,,Service,TI-1800.4500-500,TI-1800.4500-500,
487,819,"Housing Counseling",,Housing,,,,,,Service,BH-3700,BH-3700,modified
488,451,"Public Transit Authorities",,,,,,,,"Organization/Facility Type",BT-8400.6400,BT-8400.6400,
489,181,"Job Finding Assistance",,,,,,,,Service,ND-3500,ND-3500,
490,981,"Teen Expectant/New Parent Assistance",,,,,,,,Service,PH-6100.1800-900,PH-6100.1800-900,
491,1020,"Substance Use Disorder Day Treatment",,"Mental Health",,,,,,Service,RX-8450.8100,RX-8450.8100,
492,496,"Immigrant/Refugee Employment Programs",,,,,,,,Service,ND-6500.3300,ND-6500.3300,
493,281,"Pediatric Neurology",,Health,,,,,,Service,LV-6800.6860,LV-6800.6860,
494,752,"Labor and Employment Law",,,,,,,,Service,FT-4150,FT-4150,
495,503,"Donation Drop Off Points",,,,,,,,Service,TI-1900,TI-1900,
496,504,"Donations Distribution Volunteer Opportunities",,,,,,,,Service,PX-0400.1800-150,PX-0400.1800-150,
497,962,"Secret Service",,,,,,,,"Named Programs",FL-8000,FL-8000,
498,330,"Disability/Rehabilitation Related Occupational Therapy",,Health,,,,,,Service,LR-6200.1800,LR-6200.1800,
499,578,"Counseling for Children Affected by Domestic Violence",,"Domestic Violence",,,,,,Service,RP-1400.8000-020.21,RP-1400.8000-020.21,modified
500,1268,"Attendant Services for People With Disabilities",,,,,,,,Service,PH-0500,PH-0500,
501,816,"Drug Use Disorder Support Groups",,,,,,,,"Organization/Facility Type",PN-8100.0500-180,PN-8100.0500-180,
502,513,"Insurance Claims Assistance",,,,,,,,Service,FT-3900.3300,FT-3900.3300,
503,514,"Insurance Fraud Reporting",,,,,,,,Service,FN-1700.3350,FN-1700.3350,
504,719,"Job Interview Training",,"Employment Training",,,,,,Service,ND-2000.6500-340,ND-2000.6500-340,modified
505,149,"Thrift Shops",,,,,,,,"Organization/Facility Type",BM-8500,BM-8500,
506,1047,"AIDS/HIV/STD Prevention Supplies",,Health,,,,,,Service,LH-5000.0600,LH-5000.0600,
507,442,"Truancy Counseling",,"School Discipline",,,,,,Service,HL-2500.8600,HL-2500.8600,modified
508,131,"Child Guidance",,"Mental Health",,,,,,Service,RP-1400.8000-155,RP-1400.8000-155,
509,287,"Psychiatric Medication Monitoring",,"Mental Health",,,,,,Service,RP-6400.8000-650.64,RP-6400.8000-650.64,
510,1062,"Bullying Prevention",,,,,,,,Service,FN-1500.1000,FN-1500.1000,
511,725,"Automated External Defibrillator Training",,Health,,,,,,Service,LH-2700.2000-050,LH-2700.2000-050,
512,1068,"Wildlife Appreciation Societies",,,,,,,,"Organization/Facility Type",PS-8200.9500,PS-8200.9500,
513,789,"Dance Instruction",,,,,,,,Service,PL-7400.1700,PL-7400.1700,
514,1070,"Tap Dancing Instruction",,,,,,,,Service,PL-7400.1700-850,PL-7400.1700-850,
515,1069,"Modern Dance Instruction",,,,,,,,Service,PL-7400.1700-500,PL-7400.1700-500,
516,208,"Social Security Numbers",,,,,,,,Service,DF-7000.8250,DF-7000.8250,
517,210,SSI,,,,,,,,"Named Programs",NL-1000.8100,NL-1000.8100,
518,1372,"Utility Disconnection Protection",,,,,,,,Service,BV-8900.9220,BV-8900.9220,
519,985,Websites,,,,,,,,Service,TJ-1800.3300-950,TJ-1800.3300-950,
520,1074,"Zoos/Wildlife Parks",,,,,,,,"Organization/Facility Type",PL-6400.9600-980,PL-6400.9600-980,
521,1076,"Substance Use Disorder Treatment Programs",,"Mental Health",,,,,,Service,RX-8450,RX-8450,
522,711,"Substance Use Disorder Education/Prevention",,"Mental Health",,,,,,Service,RX-8250,RX-8250,
523,475,"Wound Clinics",,Health,,,,,,Service,LT-1750.9550,LT-1750.9550,
524,1080,"Community Disaster Education",,,,,,,,Service,TH-1700.2000-150,TH-1700.2000-150,
525,669,"Disaster Relief/Recovery Organizations",,"Emergency Assistance (Disaster)",,,,,,"Organization/Facility Type",TH-1500.1700,TH-1500.1700,modified
526,1065,"Identification Devices",,,,,,,,Service,PH-1800.3300,PH-1800.3300,
527,1085,"Child Advocacy Centers",,"Child Abuse",,,,,,"Organization/Facility Type",FT-3000.1450,FT-3000.1450,modified
528,349,"Crime Prevention",,,,,,,,Service,FN-1500,FN-1500,
529,175,"Law Enforcement Education/Information",,,,,,,,Service,FR-4500,FR-4500,
530,1086,"Abuse Counseling",,"Mental Health",,,,,,Service,RP-1400.8000-020,RP-1400.8000-020,
531,1083,"Home Safety Evaluations",,,,,,,,Service,JR-8200.3000-250,JR-8200.3000-250,
532,1084,"Safety Town Programs",,,,,,,,"Named Programs",JR-8200.7800,JR-8200.7800,
533,648,"Disability Related Parenting Programs",,"Parenting Skills (Education)",,,,,,Service,PH-6100.1700,PH-6100.1700,modified
534,649,"Parent to Parent Networking",,,,,,,,Service,PH-1400.6500-650,PH-1400.6500-650,
535,809,"Family Group Conferencing",,,,,,,,Service,PH-2360.2300,PH-2360.2300,
536,215,"Family Violence Prevention",,"Domestic Violence",,,,,,Service,FN-1500.1900,FN-1500.1900,modified
537,1236,"Benefits Screening",,,,,,,,Service,PH-0700,PH-0700,
538,1087,"Child Abuse Medical Evaluations",,"Child Abuse",,,,,,Service,LF-7000.1550,LF-7000.1550,modified
539,857,"Bereaved Child Support Groups",,,,,,,,"Organization/Facility Type",PN-8100.1000-080,PN-8100.1000-080,
540,1088,"Commemorative Events",,,,,,,,Service,PL-7700.1200,PL-7700.1200,
541,1092,"Work Clothing Donation Programs",,,,,,,,Service,TI-1800.1500-900,TI-1800.1500-900,
542,1094,"Automobile Loans",,,,,,,,Service,BT-8300.0870,BT-8300.0870,
543,615,"Medical Care Expense Assistance",,Health,,,,,,Service,LH-5100.5000,LH-5100.5000,
544,1101,"AIDS Drug Assistance Programs",,Health,,,,,,Service,LH-6700.6400-040,LH-6700.6400-040,
