id,name,taxonomy_facet,parent_id,parent_name,vocabulary
RP-1500.1400-200,Domestic Violence Hotlines,Service,,,
ND-3500.3500-340,Job Banks,Service,,,
FP-0500.4500,Legislative Advocacy,Modality/Delivery Format,,,
FP-0500.3500,Issue Advocacy,Modality/Delivery Format,,,
PN-8100.0500,Addictions/Substance Use Disorder Support Groups,Organization/Facility Type,,,
BD-1800.2000-640,Ongoing Emergency Food Assistance,Service,,,
LF-4900.1000,Blood Pressure Screening,Service,,,
PH-2950.8500-850,Thanksgiving Baskets,Service,,,
PS-9800.9900,Youth Enrichment Programs,Service,,,
LF-7300.2000-260,Fetal Ultrasound,Service,,,
LV-7500,Radiology,Service,,,
LN-1500,Community Clinics,Organization/Facility Type,,,
PH-1250.1800,Extended Child Care,Service,,,
RF-3300,Individual Counseling,Modality/Delivery Format,,,
TJ-3000.8000,Specialized Information and Referral,Service,,,
PH-1000.8500,Transitional Case/Care Management,Service,,,
PH-1250.1400,Child Care Centers,Organization/Facility Type,,,
BH-8600,Transitional Housing/Shelter,Service,,,
BM-6500.1500-250,General Clothing Provision,Service,,,
PD-7600.0300,Animal Lost and Found,Service,,,
PX,Volunteer Opportunities,Service,,,
DF-7000.1700-050,Autopsy Records,Service,,,
DF-7000.1700-300,Death Certificates,Service,,,
LV-1600.2300,Forensic Dentistry,Service,,,
PB-1600,Coroner Services,Service,,,
PB-5000.1550,Cremation Services,Service,,,
PS-9800.9900,Youth Enrichment Programs,Service,,,
LV-6000.2550,Gynecology Services,Service,,,
PH-1250.1800,Extended Child Care,Service,,,
PS-9800.9900,Youth Enrichment Programs,Service,,,
PS-9800.9900,Youth Enrichment Programs,Service,,,
HL-8700,Tutoring Services,Service,,,
PH-1250.1800,Extended Child Care,Service,,,
PS-9800.9900,Youth Enrichment Programs,Service,,,
TH-2300.1670,Evacuation Centers,Organization/Facility Type,,,
RD-6800.6500,Psychotherapy/Psychoanalysis,Service,,,
RX-8450.7000-700,Residential Alcohol Use Disorder Treatment Facilities,Organization/Facility Type,,,
RX-8450.7000-750,Residential Drug Use Disorder Treatment Facilities,Organization/Facility Type,,,
PH-6100.6800,Parenting Skills Classes,Service,,,
RM-6500.6500,Private Therapy Practices,Organization/Facility Type,,,
RP-8000.6600,Play Therapy,Service,,,
RF-2000,Family Counseling,Modality/Delivery Format,,,
RP-1400.8000-500,Marriage Counseling,Service,,,
HH-0500.2500-250,GED/High School Equivalency Test Instruction,Service,,,
PH-1250.1800,Extended Child Care,Service,,,
PL-6400.1500-820,Summer Camps,Service,,,
TJ-3000.8000,Specialized Information and Referral,Service,,,
TJ-3000.8000,Specialized Information and Referral,Service,,,
TJ-3000.8000,Specialized Information and Referral,Service,,,
LR-8000.8000-820,Speech Therapy,Service,,,
LR-6200,Occupational Therapy,Service,,,
LR-6600,Physical Therapy,Service,,,
RD-1000.1000,Behavior Modification,Service,,,
RF-3300,Individual Counseling,Modality/Delivery Format,,,
RF-2000,Family Counseling,Modality/Delivery Format,,,
RP-1400.8000-050,Adolescent/Youth Counseling,Service,,,
RF-2500,Group Counseling,Modality/Delivery Format,,,
RP-5000.6400,Psychological Assessment,Service,,,
LF-7000.1700,Developmental Assessment,Service,,,
TJ-3000.8000,Specialized Information and Referral,Service,,,
FP-0500.3500,Issue Advocacy,Modality/Delivery Format,,,
HL-8700.8000,Subject Tutoring,Service,,,
PH-1250.1800,Extended Child Care,Service,,,
PS-9800.9900,Youth Enrichment Programs,Service,,,
PH-2950.8500-850,Thanksgiving Baskets,Service,,,
RX-8450.7000-700,Residential Alcohol Use Disorder Treatment Facilities,Organization/Facility Type,,,
RX-8450.7000-750,Residential Drug Use Disorder Treatment Facilities,Organization/Facility Type,,,
TJ-3000.1500,Comprehensive Information and Referral,Service,,,
TJ-3000.8000,Specialized Information and Referral,Service,,,
TJ-3000.1500,Comprehensive Information and Referral,Service,,,
TJ-3000.1500,Comprehensive Information and Referral,Service,,,
TJ-3000.1500,Comprehensive Information and Referral,Service,,,
TJ-3000.1500,Comprehensive Information and Referral,Service,,,
TJ-3000.1500,Comprehensive Information and Referral,Service,,,
TJ-3000.1500,Comprehensive Information and Referral,Service,,,
PL-6400.1500-820,Summer Camps,Service,,,
HD-0500.1500,Charter Schools,Organization/Facility Type,,,
HD-0500.1500,Charter Schools,Organization/Facility Type,,,
LV-5700,Neuropsychiatry/Neuropsychology,Service,,,
RD-1500,Cognitive Behavioral Therapy,Service,,,
RD-2500,Gestalt Therapy,Service,,,
RD-6800.6500,Psychotherapy/Psychoanalysis,Service,,,
PH-1250.1800,Extended Child Care,Service,,,
PX,Volunteer Opportunities,Service,,,
PH-1250.1800,Extended Child Care,Service,,,
PX,Volunteer Opportunities,Service,,,
TJ-3000.1500,Comprehensive Information and Referral,Service,,,
LF-4900.6200,Nutrition Assessment Services,Service,,,
RF-2000,Family Counseling,Modality/Delivery Format,,,
RF-2500,Group Counseling,Modality/Delivery Format,,,
RF-3300,Individual Counseling,Modality/Delivery Format,,,
RM-6500.6500,Private Therapy Practices,Organization/Facility Type,,,
LH-2700.2000-050,Automated External Defibrillator Training,Service,,,
LH-2700.2000-150,CPR Instruction,Service,,,
ND-1600.1700,Employment Related Fingerprinting,Service,,,
ND-1600.6500,Pre-Employment Background Checks,Service,,,
RM-6500.6500,Private Therapy Practices,Organization/Facility Type,,,
RP-1400.8000-050,Adolescent/Youth Counseling,Service,,,
RF-3300,Individual Counseling,Modality/Delivery Format,,,
RP-1400.8000-270,Geriatric Counseling,Service,,,
RP-6400.8000-300,Home Based Mental Health Services,Service,,,
LJ-2000.6500-700,Pro-Life Pregnancy Counseling,Service,,,
LJ-2000.6750,Pregnancy Testing,Service,,,
LJ-5000.6600,Prenatal Care,Service,,,
PH-6100.1800-250,General Expectant/New Parent Assistance Programs,Service,,,
PH-6100.6800,Parenting Skills Classes,Service,,,
TP-1850.1700,Credentialing Program Evaluation,Service,,,
PH-2950.3200,Holiday Gifts/Toys,Service,,,
PH-2950.3200,Holiday Gifts/Toys,Service,,,
DM-1500.1500,Credit Counseling,Service,,,
DM-6500,Personal Financial Counseling,Service,,,
BH-3800.5000,Mortgage Payment Assistance,Service,,,
BH-3500.3400-300,Foreclosure Prevention Loan Modification/Refinancing Programs,Service,,,
BH-3700.3000,Homebuyer/Home Purchase Counseling,Service,,,
DM-1800.2000,Mortgage Delinquency and Default Counseling,Programs that provide assistance for people who are unable to ma,,,
PH-1250.1800,Extended Child Care,Service,,,
PX,Volunteer Opportunities,Service,,,
PH-6100,Parenting Education,Service,,,
PN-8100.5000,Mental Health Related Support Groups,Organization/Facility Type,,,
PX,Volunteer Opportunities,Service,,,
HH-4500.1800,Early Literacy Development Programs,Service,,,
RF-2000,Family Counseling,Modality/Delivery Format,,,
RP-1400.8000-070,Anger Management,Service,,,
RP-1400.8000-675,Psychiatric Disorder Counseling,Service,,,
RX-0400.1850,Drug/Alcohol Testing,Service,,,
RX-8450.8000,Substance Use Disorder Counseling,Service,,,
PH-6100,Parenting Education,Service,,,
RF-2000,Family Counseling,Modality/Delivery Format,,,
RP-1400.8000-070,Anger Management,Service,,,
RP-1400.8000-675,Psychiatric Disorder Counseling,Service,,,
RX-0400.1850,Drug/Alcohol Testing,Service,,,
RX-8450.8000,Substance Use Disorder Counseling,Service,,,
PL-6400.1500-820,Summer Camps,Service,,,
LT-1750.0500,AIDS/HIV Clinics,Service,,,
LH-6700.6400-285,HIV Post Exposure Prophylaxis Medication,Service,,,
LH-6700.6400-300,HIV Pre-Exposure Prophylaxis Medication,Service,,,
LH-3000.0200,Affordable Care Act Qualified Health Plans,Service,,,
LH-3000.3050,Health Insurance Marketplaces,Organization/Facility Type,,,
LH-3500.0200-140,Certified Application Counselor Programs,Service,,,
LH-3500.0200-330,In Person Assister Programs,Service,,,
LH-3500.0200-600,Navigator Programs,Service,,,
LR-0450.0500,Applied Behavioral Analysis,Service,,,
LR-1700,Early Intervention for Children With Disabilities/Delays,Service,,,
PH-1000.8500,Transitional Case/Care Management,Service,,,
PH-6100.1550,Co-Parenting Workshops,Service,,,
RD-1000.1000,Behavior Modification,Service,,,
RF-2000,Family Counseling,Modality/Delivery Format,,,
RF-2500,Group Counseling,Modality/Delivery Format,,,
RP-6400.2500,General Psychiatry,Service,,,
RP-6400.8000-660,Psychiatric Rehabilitation,Service,,,
RR-1800,Early Intervention for Mental Illness,Service,,,
PL-6400.1500-180,Day Camps,Organization/Facility Type,,,
PH-1250.1800,Extended Child Care,Service,,,
PH-1250.1800,Extended Child Care,Service,,,
PL-6400.1500-820,Summer Camps,Service,,,
PL-6400.1500-180,Day Camps,Organization/Facility Type,,,
PH-1250.1800,Extended Child Care,Service,,,
PL-6400.1500-820,Summer Camps,Service,,,
PL-6400.1500-180,Day Camps,Organization/Facility Type,,,
PL-6400.1500-820,Summer Camps,Service,,,
PH-1250.1800,Extended Child Care,Service,,,
PL-6400.1500-180,Day Camps,Organization/Facility Type,,,
PX,Volunteer Opportunities,Service,,,
LH-0600,Assistive Technology Equipment,Service,,,
LV-6300,Osteopathy,Service,,,
LR-0450.0500,Applied Behavioral Analysis,Service,,,
PL-6400.1500-820,Summer Camps,Service,,,
PH-1250.1800,Extended Child Care,Service,,,
PL-6400.1500-820,Summer Camps,Service,,,
PH-2950.8500-850,Thanksgiving Baskets,Service,,,
PH-1250.1400,Child Care Centers,Organization/Facility Type,,,
PH-1250.1800,Extended Child Care,Service,,,
PL-6400.1500-820,Summer Camps,Service,,,
PH-1250.1800,Extended Child Care,Service,,,
PH-1250.1800,Extended Child Care,Service,,,
PH-1250.1800,Extended Child Care,Service,,,
PL-6400.1500-820,Summer Camps,Service,,,
PH-1250.1800,Extended Child Care,Service,,,
PL-6400.1500-820,Summer Camps,Service,,,
TJ-3000.8000,Specialized Information and Referral,Service,,,
TJ-3000.8000,Specialized Information and Referral,Service,,,
TJ-3000.8000,Specialized Information and Referral,Service,,,
HD-1800.6500-150,Community Based Preschools,Organization/Facility Type,,,
PH-1250.1400,Child Care Centers,Organization/Facility Type,,,
PH-1250.1800,Extended Child Care,Service,,,
PS-9800.9900,Youth Enrichment Programs,Service,,,
PL-6400.1500-820,Summer Camps,Service,,,
PH-1250.1800,Extended Child Care,Service,,,
PL-6400.1500-820,Summer Camps,Service,,,
PL-6400.1500-820,Summer Camps,Service,,,
PH-1250.1800,Extended Child Care,Service,,,
PL-6400.1500-820,Summer Camps,Service,,,
PL-6400.1500-820,Summer Camps,Service,,,
TJ-3200.5000,Medical Information Lines,Service,,,
PH-1250.1800,Extended Child Care,Service,,,
PL-6400.1500-820,Summer Camps,Service,,,
PH-1250.1800,Extended Child Care,Service,,,
PL-6400.1500-820,Summer Camps,Service,,,
PH-1250.1800,Extended Child Care,Service,,,
PL-6400.1500-820,Summer Camps,Service,,,
PH-1250.1800,Extended Child Care,Service,,,
PL-6400.1500-820,Summer Camps,Service,,,
PH-1250.1800,Extended Child Care,Service,,,
PL-6400.1500-820,Summer Camps,Service,,,
PH-1250.1800,Extended Child Care,Service,,,
PL-6400.1500-820,Summer Camps,Service,,,
LV-2400.6300-900,Vitreo Retinal Services,Service,,,
LV-2400.6300-250,Glaucoma Treatment,Service,,,
RD-1500,Cognitive Behavioral Therapy,Service,,,
HD-1800.1800-200,Early Head Start Sites,Named Programs,,,
HD-1800.3000-350,Head Start Sites,Named Programs,,,
HD-1800.1800-200,Early Head Start Sites,Named Programs,,,
HD-1800.1800-200,Early Head Start Sites,Named Programs,,,
HD-1800.3000-350,Head Start Sites,Named Programs,,,
RM-6500.6500,Private Therapy Practices,Organization/Facility Type,,,
PH-6100.6800,Parenting Skills Classes,Service,,,
RF-3300,Individual Counseling,Modality/Delivery Format,,,
RF-1500,Conjoint Counseling,Modality/Delivery Format,,,
RR-8500.5000,Marriage and Family Therapist Referrals,Service,,,
RD-6800.6500,Psychotherapy/Psychoanalysis,Service,,,
RD-8000,Solution Focused Therapy,Service,,,
RD-7000,Rational Emotive Therapy,Service,,,
RD-1500,Cognitive Behavioral Therapy,Service,,,
PV-3300.5000,Meditation,Service,,,
PS-9800.9900,Youth Enrichment Programs,Service,,,
PH-1250.1800,Extended Child Care,Service,,,
PL-6400.1500-820,Summer Camps,Service,,,
PL-6400.1500-820,Summer Camps,Service,,,
PS-9800.1000,Boys/Girls Clubs,Organization/Facility Type,,,
HL-8700,Tutoring Services,Service,,,
PH-1250.1800,Extended Child Care,Service,,,
PL-7000.8900-100,Basketball,Service,,,
PL-7000.8900-800,Soccer,Service,,,
PL-7000.8900-900,Volleyball,Service,,,
PL-7400.0500-260,General Arts and Crafts,Service,,,
PL-7400.1700,Dance Instruction,Service,,,
PS-9800.9900,Youth Enrichment Programs,Service,,,
HL-8700,Tutoring Services,Service,,,
PH-1250.1800,Extended Child Care,Service,,,
PL-7000.8900-100,Basketball,Service,,,
PL-7000.8900-800,Soccer,Service,,,
PL-7000.8900-900,Volleyball,Service,,,
PL-7400.0500-260,General Arts and Crafts,Service,,,
PL-7400.1700,Dance Instruction,Service,,,
PS-9800.9900,Youth Enrichment Programs,Service,,,
HL-8700,Tutoring Services,Service,,,
PH-1250.1800,Extended Child Care,Service,,,
PL-7000.8900-100,Basketball,Service,,,
PL-7000.8900-800,Soccer,Service,,,
PL-7000.8900-900,Volleyball,Service,,,
PL-7400.0500-260,General Arts and Crafts,Service,,,
PL-7400.1700,Dance Instruction,Service,,,
PS-9800.9900,Youth Enrichment Programs,Service,,,
HL-8700,Tutoring Services,Service,,,
PH-1250.1800,Extended Child Care,Service,,,
PL-7000.8900-100,Basketball,Service,,,
PL-7000.8900-800,Soccer,Service,,,
PL-7000.8900-900,Volleyball,Service,,,
PL-7400.0500-260,General Arts and Crafts,Service,,,
PL-7400.1700,Dance Instruction,Service,,,
PS-9800.9900,Youth Enrichment Programs,Service,,,
HL-8700,Tutoring Services,Service,,,
PH-1250.1800,Extended Child Care,Service,,,
PL-7000.8900-100,Basketball,Service,,,
PL-7000.8900-800,Soccer,Service,,,
PL-7000.8900-900,Volleyball,Service,,,
PL-7400.0500-260,General Arts and Crafts,Service,,,
PL-7400.1700,Dance Instruction,Service,,,
PS-9800.9900,Youth Enrichment Programs,Service,,,
HL-8700,Tutoring Services,Service,,,
PH-1250.1800,Extended Child Care,Service,,,
PL-7000.8900-100,Basketball,Service,,,
PL-7000.8900-800,Soccer,Service,,,
PL-7000.8900-900,Volleyball,Service,,,
PL-7400.0500-260,General Arts and Crafts,Service,,,
PL-7400.1700,Dance Instruction,Service,,,
TC-5500.2500,Gay/Lesbian/Bisexual/Transgender Community Centers,Organization/Facility Type,,,
RX-8450.1150-150,Comprehensive Outpatient Alcohol Use Disorder Treatment,Service,,,
DM-1500.1500,Credit Counseling,Service,,,
BH-7000.4600,Low Income/Subsidized Rental Housing,Organization/Facility Type,,,
PH-1000,Case/Care Management,Service,,,
RD-6800.6500,Psychotherapy/Psychoanalysis,Service,,,
RF-2500,Group Counseling,Modality/Delivery Format,,,
RM-6500,Outpatient Mental Health Facilities,Organization/Facility Type,,,
RX-8450.1150,Comprehensive Outpatient Substance Use Disorder Treatment,Service,,,
JP-1500.1700-800,Tuberculosis Control,Service,,,
JP-1500.1700-750,Sexually Transmitted Disease Control,Service,,,
JP-1500.1700-050,AIDS/HIV Control,Service,,,
JP-1500.1700-200,Ebola Control,Service,,,
JP-1500.1700-330,Influenza Control,Service,,,
PN-8100.4500-230,Families of Inmates Support Groups,Organization/Facility Type,,,
RP-1400.8000-155,Child Guidance,Service,,,
TC-5500.8000,Senior Centers,Organization/Facility Type,,,
HH-0500.8000-150,English as a Second Language,Service,,,
HH-0500.1500,Citizenship Education,Service,,,
HL-8500.1400,Citizenship Test Preparation,Service,,,
FT-1000.3300,Immigrant Benefits Assistance,Service,,,
TD-1600.1790,Employment Related Advocacy Groups,Organization/Facility Type,,,
TD-1600.3100,Human Rights Groups,Organization/Facility Type,,,
TJ-3000,Information and Referral,Service,,,
TQ-1800.0500,Absentee Ballots,Service,,,
TQ-1800.1600,Election Information,Service,,,
BD-5000.8300,Soup Kitchens,Organization/Facility Type,,,
TQ-1800.9000,Voter Registration Offices,Organization/Facility Type,,,
BD-5000.3500,Home Delivered Meals,Service,,,
JP-6500.6500,Pest Control Services,Service,,,
PH-1400,Companionship,Service,,,
PH-3300.3000,Homemaker Assistance,Service,,,
HD-8000,Public Schools,Organization/Facility Type,,,
HD-8200,School Districts,Organization/Facility Type,,,
HH-0500.2500-250,GED/High School Equivalency Test Instruction,Service,,,
HH-0500.1500,Citizenship Education,Service,,,
RF-3300,Individual Counseling,Modality/Delivery Format,,,
RP-1500.1400,Crisis Intervention Hotlines/Helplines,Service,,,
HH-0500.8000-150,English as a Second Language,Service,,,
PL-7400.1700,Dance Instruction,Service,,,
PL-7400.0500,Arts and Crafts Instruction,Service,,,
PL-7400.1500,Computer and Related Technology Classes,Service,,,
TJ-3000.8500,211 Systems,Organization/Facility Type,,,
LJ-2000.6750,Pregnancy Testing,Service,,,
LF-7300.2000-260,Fetal Ultrasound,Service,,,
LJ-5000.6600,Prenatal Care,Service,,,
PD-9000.6000,Neuter/Spay Services,Service,,,
TD-1200.6600-150,Community Foundations,Organization/Facility Type,,,
TP-1000.2500,Board Organization Assistance,Service,,,
TP-2100.0250-400,Grant Administration Assistance,Service,,,
TB-0700.2200-660,Program Development Funds,Service,,,
RX-1700.1700-650,Outpatient Drug Detoxification,Service,,,
LF-5280.8900,Urine Tests,Service,,,
RX-8450.1150-180,Comprehensive Outpatient Drug Use Disorder Treatment,Service,,,
RX-8450.1150-180,Comprehensive Outpatient Drug Use Disorder Treatment,Service,,,
RX-1700.1700-650,Outpatient Drug Detoxification,Service,,,
RX-8450.8000-180,Drug Use Disorder Counseling,Service,,,
RX-8450.8000-180,Drug Use Disorder Counseling,Service,,,
LF-5280.8900,Urine Tests,Service,,,
RX-8450.1150-180,Comprehensive Outpatient Drug Use Disorder Treatment,Service,,,
LF-5280.8900,Urine Tests,Service,,,
RX-1700.1700-650,Outpatient Drug Detoxification,Service,,,
RX-8450.8000-180,Drug Use Disorder Counseling,Service,,,
PL-6400.1500-820,Summer Camps,Service,,,
FL-6500,Municipal Police,Organization/Facility Type,,,
TJ-3000,Information and Referral,Service,,,
RP-1500.3300,In Person Crisis Intervention,Service,,,
FN-1900.1500,Crime Victim Compensation,Service,,,
TJ-6500.6700,Printed Materials,Service,,,
TJ-6500.8500,Subject Specific Public Awareness/Education,Service,,,
LR-8000.0500-800.05,American Sign Language Instruction,Service,,,
PH-3500.8000,Sign Language Interpretation,Service,,,
PN-8100.3000,Health/Disability Related Support Groups,Organization/Facility Type,,,
TJ-3000,Information and Referral,Service,,,
FP-0500.3500,Issue Advocacy,Modality/Delivery Format,,,
ND-3400.8000,Special Needs Job Development,Service,,,
TD-1600.1790,Employment Related Advocacy Groups,Organization/Facility Type,,,
TD-1600.2570,Health Related Advocacy Groups,Organization/Facility Type,,,
TD-1600.3100-180,Disability Rights Groups,Organization/Facility Type,,,
BT-4500.6500-800,Senior Ride Programs,Service,,,
BH-8500.8000,Senior Housing Information and Referral,Service,,,
BD-5000.1500,Congregate Meals/Nutrition Sites,Service,,,
BD-1800.2000-640,Ongoing Emergency Food Assistance,Service,,,
LR-6600,Physical Therapy,Service,,,
PH-1400.5000-100,Adult/Child Mentoring Programs,Service,,,
RX-8450.8000-050,Alcohol Use Disorder Counseling,Service,,,
LH-6700.6250,Prescription Drug Discount Cards,Service,,,
RF-2500,Group Counseling,Modality/Delivery Format,,,
FT-3000.1500,Child Custody/Visitation Assistance,Service,,,
RF-2000,Family Counseling,Modality/Delivery Format,,,
FT-3000.1500,Child Custody/Visitation Assistance,Service,,,
RP-1400.8000-100,Bereavement Counseling,Service,,,
FT-3000.1500,Child Custody/Visitation Assistance,Service,,,
BM-6500.1500,Clothing,Service,,,
DM-1500.1500,Credit Counseling,Service,,,
DM-6500,Personal Financial Counseling,Service,,,
DM-1800.1000,Bankruptcy Assistance,Service,,,
DM-1800.1700,Debt Consolidation Services,Service,,,
DM-1800.2000,Mortgage Delinquency and Default Counseling,Programs that provide assistance for people who are unable to ma,,,
LH-4000.7000,Reverse Mortgage Programs,Service,,,
BH-3700.3000,Homebuyer/Home Purchase Counseling,Service,,,
TJ-3200.1600,Directory Assistance,Service,,,
RP-1400.8000-020.80,Spouse/Intimate Partner Abuse Counseling,Service,,,
FF-1900,Ex-Offender Reentry Programs,Service,,,
ND-2000.1500-160,Career Counseling,Service,,,
ND-3400,Job Development,Service,,,
ND-3500,Job Finding Assistance,Service,,,
ND-3500.3600,Job Search/Placement,Service,,,
ND-6500.9500,Welfare to Work Programs,Service,,,
FN-5000,Missing Persons Location Assistance,Service,,,
FL-8500,State Police,Organization/Facility Type,,,
TD-1100.1400,Community Action Agencies,Organization/Facility Type,,,
TD-1100.1400,Community Action Agencies,Organization/Facility Type,,,
TD-1100.1400,Community Action Agencies,Organization/Facility Type,,,
LF-4900.1500-650,Pap Tests,Service,,,
HL-2000.8000,Special Education Assessment,Service,,,
FT-3000.1750,Domestic/Family Violence Legal Services,Service,,,
FT-1000.8900,Unemployment Insurance Benefits Assistance,Service,,,
FT-1000.8900,Unemployment Insurance Benefits Assistance,Service,,,
FT-1000.8900,Unemployment Insurance Benefits Assistance,Service,,,
FT-1000.8900,Unemployment Insurance Benefits Assistance,Service,,,
FT-1000.8900,Unemployment Insurance Benefits Assistance,Service,,,
FT-1000.8900,Unemployment Insurance Benefits Assistance,Service,,,
FT-1000.8900,Unemployment Insurance Benefits Assistance,Service,,,
FT-1000.8900,Unemployment Insurance Benefits Assistance,Service,,,
FT-1000.8900,Unemployment Insurance Benefits Assistance,Service,,,
FT-1000.8900,Unemployment Insurance Benefits Assistance,Service,,,
HD-1800.6500-700,Public Preschools,Organization/Facility Type,,,
HD-1800.6500-700,Public Preschools,Organization/Facility Type,,,
TR-1000.2000,Epidemiology Research,Service,,,
JP-6500.1800,Environmental Hazards Evaluation,Service,,,
JP-6500.2000,Environmental Hazards Reporting,Service,,,
LH-5000.5100-350,Home Glucose Monitoring Systems,Service,,,
LH-5000.3400,Insulin Injection Supplies,Service,,,
JR-8200.6500-350,Infant and Child Safety Education,Service,,,
HH-4500.0500,Adult Literacy Programs,Service,,,
HH-0500.8000-150,English as a Second Language,Service,,,
HH-0500.8000-150,English as a Second Language,Service,,,
HH-4500.0500,Adult Literacy Programs,Service,,,
HH-0500.8000-150,English as a Second Language,Service,,,
HH-4500.0500,Adult Literacy Programs,Service,,,
HH-0500.8000-150,English as a Second Language,Service,,,
HH-4500.0500,Adult Literacy Programs,Service,,,
HH-4500.0500,Adult Literacy Programs,Service,,,
HH-0500.8000-150,English as a Second Language,Service,,,
TJ-3000,Information and Referral,Service,,,
TD-1600.2800,Housing Advocacy Groups,Organization/Facility Type,,,
PH-2360.2000,Economic Self Sufficiency Programs,Service,,,
RP-8000.6600,Play Therapy,Service,,,
LR-6200.6500,Pediatric Occupational Therapy,Service,,,
LR-1700,Early Intervention for Children With Disabilities/Delays,Service,,,
LR-1700,Early Intervention for Children With Disabilities/Delays,Service,,,
LR-6200.6500,Pediatric Occupational Therapy,Service,,,
PL-7000.3150,Disability Related Sports,Service,,,
RP-1400.8000-900,Veteran Reintegration Counseling,Service,,,
PN-8100.0200-180,Domestic Violence Support Groups,Organization/Facility Type,,,
RF-2500,Group Counseling,Modality/Delivery Format,,,
RF-3300,Individual Counseling,Modality/Delivery Format,,,
RX-8450.1150,Comprehensive Outpatient Substance Use Disorder Treatment,Service,,,
PS-9800.9900,Youth Enrichment Programs,Service,,,
PL-7000.4360,General Recreational Activities/Sports,Service,,,
FN-1900.2500,General Crime Victim Assistance,Service,,,
BD-5000.1500,Congregate Meals/Nutrition Sites,Service,,,
TC-5500.8000,Senior Centers,Organization/Facility Type,,,
BD-1800.2000-640,Ongoing Emergency Food Assistance,Service,,,
BD-1800.2000-640,Ongoing Emergency Food Assistance,Service,,,
RX-8450.7000-700,Residential Alcohol Use Disorder Treatment Facilities,Organization/Facility Type,,,
RX-8450.7000-750,Residential Drug Use Disorder Treatment Facilities,Organization/Facility Type,,,
RX-8450.8000-050,Alcohol Use Disorder Counseling,Service,,,
RX-8450.8000-180,Drug Use Disorder Counseling,Service,,,
BT-4500.6500-500,Medical Appointments Transportation,Service,,,
PH-1000.4500,Long Term Case/Care Management,Service,,,
PH-1000.8500,Transitional Case/Care Management,Service,,,
NL-5000.8000-150,Children's State/Local Health Insurance Programs,Service,,,
PL-6400.1500-850,Therapeutic Camps,Organization/Facility Type,,,
RP-1500.1400-250,General Crisis Intervention Hotlines,Service,,,
RP-1500.3300,In Person Crisis Intervention,Service,,,
HL-8700.8000,Subject Tutoring,Service,,,
RF-2000,Family Counseling,Modality/Delivery Format,,,
PN-8100.4500-950,Youth/Student Support Groups,Organization/Facility Type,,,
PL-7400,Recreational/Leisure/Arts Instruction,Service,,,
PL-8700.2000,Field Trips/Excursions,Service,,,
RM-3300.6600-050,Adolescent Psychiatric Inpatient Units,Organization/Facility Type,,,
PH-1250.1800,Extended Child Care,Service,,,
PN-8100.0500-800,Sexual/Love Addiction Support Groups,Organization/Facility Type,,,
RF-3300,Individual Counseling,Modality/Delivery Format,,,
RF-2500,Group Counseling,Modality/Delivery Format,,,
RX-8470,Supportive Substance Use Disorder Services,Service,,,
RX-8450.7000-700,Residential Alcohol Use Disorder Treatment Facilities,Organization/Facility Type,,,
RX-8450.7000-750,Residential Drug Use Disorder Treatment Facilities,Organization/Facility Type,,,
PN-8100.0500-070,Alcohol Use Disorder Support Groups,Organization/Facility Type,,,
PN-8100.0500-180,Drug Use Disorder Support Groups,Organization/Facility Type,,,
RX-8450.8000-050,Alcohol Use Disorder Counseling,Service,,,
RX-8450.8000-180,Drug Use Disorder Counseling,Service,,,
RF-2500,Group Counseling,Modality/Delivery Format,,,
PN-8100.0500-230,Families/Friends of Individuals With an Alcohol Use Disorder Support Groups,Organization/Facility Type,,,
RP-8000.1925,Equestrian Therapy,Service,,,
RP-8000.0500,Art Therapy,Service,,,
PD-9000.6600,Pet Therapy,Service,,,
LH-2700.6000-300,Healthy Eating Programs,Service,,,
PL-6600.9700,Yoga,Service,,,
RX-8450.7900,Smoking Cessation,Service,,,
PN-8100.0500-235,Families/Friends of Individuals With a Drug Use Disorder Support Groups,Organization/Facility Type,,,
RP-8000.1925,Equestrian Therapy,Service,,,
RX-8450.8100-050,Alcohol Use Disorder Day Treatment,Service,,,
RX-8450.8100-180,Drug Use Disorder Day Treatment,Service,,,
FF-0500.1800-050,Adult Diversion,Service,,,
FF-0500.1800-300,Jail Diversion Programs for Mentally Ill Offenders,Service,,,
RP-6400.2000,Forensic Psychiatry,Service,,,
RP-5000.2000,Forensic Mental Health Evaluation,Service,,,
PH-1000.8500,Transitional Case/Care Management,Service,,,
PL-6400.1500-820,Summer Camps,Service,,,
PN-8100,Support Groups,Organization/Facility Type,,,
LV-6800.6860,Pediatric Neurology,Service,,,
LF-5280.1500,Blood Tests,Service,,,
LF-8000.5200,Electroencephalography,Service,,,
ND-9200.8000-200,Foster Grandparent Program,Named Programs,,,
BH-3700.3000,Homebuyer/Home Purchase Counseling,Service,,,
TC-5500.8000,Senior Centers,Organization/Facility Type,,,
TC-5500.8000,Senior Centers,Organization/Facility Type,,,
TC-5500.8000,Senior Centers,Organization/Facility Type,,,
TJ-4400.6500,Public Libraries,Organization/Facility Type,,,
HD-6000.9000,Technical/Trade Schools,Organization/Facility Type,,,
BM-7000.0500-050,Automotive Body Repair/Painting,Service,,,
BM-7000.0500-100,Automotive Systems Repair,Service,,,
LH-2700.1540,Chronic Disease Self Management Programs,Service,,,
HH-0500.0500,Adult Basic Education,Service,,,
